case_id,param,value,t_end_h,elasticity,note
BASE,-,-,56.1811,,附录3 固定域基准 N=20
SA1,h_m,+20%,55.0566,-0.1001,假设7；预期 h_m↑⇒t_end↓
SA1,h_m,-20%,57.9913,-0.1611,
SA2,h,+20%,56.1680,-0.0012,假设7；h↑⇒T↑⇒D↑⇒t_end↓(弱)
SA2,h,-20%,56.2009,-0.0018,
SA3,D_prefactor,+20%,48.0463,-0.7240,拟合不确定；D↑⇒t_end↓
SA3,D_prefactor,-20%,68.4899,-1.0955,
SA4,T_air_plateau,50.0105,56.4537,,假设5 末30点均值；平台略低⇒t_end 略长
SA5,C_air_plateau,0.049982,56.1878,,假设5；远低于阈值⇒影响极小
SA6,surface_BC,Dirichlet,51.2288,,假设3 结构性；Dirichlet⇒t_end 偏短；不改交付
SA7,chi_closure,0->1,50.5427,,§7.3；χ=1 vs χ=0 差 -1.439h（-2.77%）不确定度
SA8,latent_heat_sink,2.4e+06,62.1215,,假设4 结构性探查；含潜热⇒T↓⇒t_end↑；不改交付
SA10,C_th,0.16,48.2771,,仅工艺讨论；C_th↑⇒t_end↓；不改交付(用0.15)
SA10,C_th,0.2,31.1443,,
